"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","ACROBAT1","TR12707_c0_g2_i1","+","DNA/PIF",1379,110,262,153,29.3,7.2,1.9,"TR12707_c0_g2","1"
"2","ACROBAT1","TR12707_c0_g1_i1","+","DNA/PIF",1379,110,297,188,28.9,5.3,0.5,"TR12707_c0_g1","1"
"3","ACROBAT2","TR45580_c1_g1_i2","C","DNA/PIF",781,1235,1395,161,14.9,5.6,0,"TR45580_c1_g1","2"
"4","ACROBAT2","TR45580_c0_g1_i1","C","DNA/PIF",781,1,121,121,13.4,2.5,1.6,"TR45580_c0_g1","1"
"5","ACROBAT2","TR45580_c1_g2_i1","C","DNA/PIF",781,157,327,171,15.3,4.7,0.6,"TR45580_c1_g2","1"
"6","BEL-16_DR-I","TR27138_c0_g1_i1","+","LTR/Pao",5784,23,220,198,30.3,0,0,"TR27138_c0_g1","1"
"7","BEL-16_DR-I","TR48721_c0_g1_i1","+","LTR/Pao",5784,8,279,272,28.5,0.7,0.7,"TR48721_c0_g1","1"
"8","BEL-26_DR-I","TR8455_c0_g1_i1","C","LTR/Pao",6183,7,251,245,29.4,0,0,"TR8455_c0_g1","1"
"9","BEL-38-I_DR","TR7198_c1_g1_i1","C","LTR/Pao",6551,13,1139,1127,32.1,2.7,2.7,"TR7198_c1_g1","1"
"10","BEL-38-I_DR","TR46466_c0_g2_i1","C","LTR/Pao",6551,898,984,87,19.7,13.8,1,"TR46466_c0_g2","1"
"11","BEL-38-I_DR","TR30768_c0_g1_i1","+","LTR/Pao",6551,1,609,609,31.5,0.3,0.3,"TR30768_c0_g1","1"
"12","BEL-38-I_DR","TR46466_c0_g1_i1","C","LTR/Pao",6551,898,984,87,19.7,13.8,1,"TR46466_c0_g1","1"
"13","BEL-38-I_DR","TR35554_c0_g1_i1","C","LTR/Pao",6551,224,384,161,27.6,6.2,3,"TR35554_c0_g1","1"
"14","BEL-38-I_DR","TR30372_c0_g1_i1","+","LTR/Pao",6551,14,957,944,33.5,2.5,2.8,"TR30372_c0_g1","1"
"15","BEL-38-I_DR","TR37875_c0_g1_i1","+","LTR/Pao",6551,18,418,401,31.2,2.7,1.8,"TR37875_c0_g1","1"
"16","BEL-39_DRe-I","TR58988_c0_g1_i1","C","LTR/Pao",6948,3,295,293,34.2,2.4,1.4,"TR58988_c0_g1","1"
"17","BEL-39_DRe-I","TR52083_c0_g1_i1","C","LTR/Pao",6948,2,781,780,32.9,0.8,0.8,"TR52083_c0_g1","1"
"18","BEL-39_DRe-I","TR52083_c0_g2_i1","C","LTR/Pao",6948,5,333,329,33.4,0,0,"TR52083_c0_g2","1"
"19","BEL-40_DRe-I","TR3606_c0_g1_i1","C","LTR/Pao",6677,3,236,234,30.8,0,0,"TR3606_c0_g1","1"
"20","BEL-40_DRe-I","TR55301_c0_g1_i1","+","LTR/Pao",6677,6,219,214,28.6,3,0.5,"TR55301_c0_g1","1"
"21","BEL-40_DRe-I","TR37798_c0_g1_i1","C","LTR/Pao",6677,10,536,527,34.8,3.4,3.4,"TR37798_c0_g1","1"
"22","BEL-42_DRe-I","TR43694_c0_g1_i1","+","LTR/Pao",6632,7,281,275,36.6,0.7,0.7,"TR43694_c0_g1","1"
"23","BEL-42_DRe-LTR","TR55893_c0_g1_i1","C","LTR/Pao",424,6,193,188,22.8,12.2,1.9,"TR55893_c0_g1","1"
"24","BEL-45_DRe-I","TR46232_c0_g2_i1","C","LTR/Pao",5800,2,235,234,30.7,1.9,1.4,"TR46232_c0_g2","1"
"25","BEL-46_DRe-I","TR29876_c0_g1_i1","+","LTR/Pao",5818,48,397,350,32.4,2.9,2.9,"TR29876_c0_g1","1"
"26","BEL-47_DRe-I","TR10534_c0_g1_i1","+","LTR/Pao",6527,1608,1712,105,22.2,6.7,9.8,"TR10534_c0_g1","1"
"27","BEL-47_DRe-I","TR39330_c0_g1_i1","C","LTR/Pao",6527,10,245,236,30.8,1.3,0,"TR39330_c0_g1","1"
"28","BEL-48_DRe-I","TR7211_c0_g1_i1","+","LTR/Pao",5992,46,260,215,28.4,0.1,3,"TR7211_c0_g1","1"
"29","BEL-49_DRe-I","TR18773_c0_g1_i1","+","LTR/Pao",5845,13,385,373,30.1,2.1,1.6,"TR18773_c0_g1","1"
"30","BEL-49_DRe-I","TR27094_c0_g1_i1","+","LTR/Pao",5845,2,242,241,30.8,0.4,0.4,"TR27094_c0_g1","1"
