"","repeat_id","qry_id","matching_repeat","matching_class","reference_length","merged_qrystart","merged_qryend","mergedfraglength","perc_div","perc_del","perc_insert","Gene","isoform"
"1","TE_00000000","TR15564_c0_g1_i1","C","__ClassI_LTR_Gypsy",505,2,319,318,28.05,5.35,1.95,"TR15564_c0_g1","1"
"2","TE_00000004","TR4101_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,212,303,92,20,0,2.2,"TR4101_c0_g1","1"
"3","TE_00000004","TR15984_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,91,251,161,22.55,0,2.4,"TR15984_c0_g1","1"
"4","TE_00000004","TR17640_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,18,273,256,15.3666666666667,0.866666666666667,2.4,"TR17640_c0_g1","1"
"5","TE_00000004","TR23508_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,249,396,148,18.8,2,2.7,"TR23508_c0_g1","1"
"6","TE_00000004","TR50528_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,104,338,235,15.05,1.35,2.1,"TR50528_c0_g1","1"
"7","TE_00000004","TR12948_c1_g1_i1","C","__ClassI_LTR_Gypsy",259,143,226,84,17.5,3.6,4.8,"TR12948_c1_g1","1"
"8","TE_00000004","TR15072_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,172,318,147,19.15,0,0,"TR15072_c0_g1","1"
"9","TE_00000004","TR19771_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,45,286,242,15.3,0,2.45,"TR19771_c0_g1","1"
"10","TE_00000004","TR42923_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,2150,2294,145,19.3,0,0,"TR42923_c0_g1","1"
"11","TE_00000004","TR44814_c12_g4_i1","C","__ClassI_LTR_Gypsy",259,77,230,154,6.05,0,0,"TR44814_c12_g4","1"
"12","TE_00000004","TR38145_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,92,243,152,16.25,0,0,"TR38145_c0_g1","1"
"13","TE_00000004","TR10512_c0_g2_i1","+","__ClassI_LTR_Gypsy",259,32,240,209,15.2,18.7,2.5,"TR10512_c0_g2","1"
"14","TE_00000004","TR10056_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,15,246,232,22.9,3.6,4.8,"TR10056_c0_g1","1"
"15","TE_00000004","TR28960_c1_g3_i1","C","__ClassI_LTR_Gypsy",259,14,234,221,10.2666666666667,0,0.933333333333333,"TR28960_c1_g3","1"
"16","TE_00000004","TR30696_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,255,348,94,17.6,0,3.3,"TR30696_c0_g1","1"
"17","TE_00000004","TR7124_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,36,262,227,15.7,2.6,0,"TR7124_c0_g1","1"
"18","TE_00000004","TR32010_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,2,213,212,21.95,0,0,"TR32010_c0_g1","1"
"19","TE_00000004","TR18769_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,36,262,227,18.6666666666667,3.36666666666667,3.33333333333333,"TR18769_c0_g1","1"
"20","TE_00000004","TR11526_c5_g1_i1","+","__ClassI_LTR_Gypsy",259,26,106,81,13.8,0,1.2,"TR11526_c5_g1","1"
"21","TE_00000004","TR22732_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,50,161,112,14.4,1.8,0.9,"TR22732_c0_g1","1"
"22","TE_00000004","TR20861_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,49,201,153,10.85,0,0,"TR20861_c0_g1","1"
"23","TE_00000004","TR6294_c7_g1_i1","C","__ClassI_LTR_Gypsy",259,511,599,89,19.6,0,2.3,"TR6294_c7_g1","1"
"24","TE_00000004","TR12046_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,215,312,98,12.5,1,10,"TR12046_c0_g1","1"
"25","TE_00000004","TR34050_c0_g4_i1","C","__ClassI_LTR_Gypsy",259,112,261,150,20.05,0,0,"TR34050_c0_g4","1"
"26","TE_00000004","TR28487_c1_g1_i1","+","__ClassI_LTR_Gypsy",259,1,83,83,17.5,0,3.8,"TR28487_c1_g1","1"
"27","TE_00000004","TR14363_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,3,161,159,12.25,1.1,2.3,"TR14363_c0_g1","1"
"28","TE_00000004","TR47155_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,587,673,87,22.4,0,7.4,"TR47155_c0_g1","1"
"29","TE_00000004","TR17024_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,113,194,82,21.9,0,0,"TR17024_c0_g1","1"
"30","TE_00000004","TR12343_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,50,211,162,15.7,0,1.35,"TR12343_c0_g1","1"
"31","TE_00000004","TR23_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,248,386,139,18.6,0,0.8,"TR23_c0_g1","1"
"32","TE_00000004","TR4611_c1_g1_i1","C","__ClassI_LTR_Gypsy",259,405,553,149,12.75,1.2,3.85,"TR4611_c1_g1","1"
"33","TE_00000004","TR46446_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,194,291,98,20.2,0,8.9,"TR46446_c0_g1","1"
"34","TE_00000004","TR28960_c1_g2_i1","C","__ClassI_LTR_Gypsy",259,14,240,227,10.4333333333333,0,1.4,"TR28960_c1_g2","1"
"35","TE_00000004","TR6313_c5_g3_i1","+","__ClassI_LTR_Gypsy",259,8,246,239,20.5333333333333,0,0.5,"TR6313_c5_g3","1"
"36","TE_00000004","TR28960_c3_g1_i1","+","__ClassI_LTR_Gypsy",259,113,229,117,11.2,0.8,0.8,"TR28960_c3_g1","1"
"37","TE_00000004","TR16607_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,403,489,87,21.1,0,7.4,"TR16607_c0_g1","1"
"38","TE_00000004","TR12855_c0_g1_i1","+","__ClassI_LTR_Gypsy",259,41,274,234,23.35,0,0.7,"TR12855_c0_g1","1"
"39","TE_00000004","TR6294_c2_g4_i1","+","__ClassI_LTR_Gypsy",259,29,126,98,19,0,8.9,"TR6294_c2_g4","1"
"40","TE_00000004","TR14669_c0_g1_i1","C","__ClassI_LTR_Gypsy",259,11,198,188,13.65,0,4.4,"TR14669_c0_g1","1"
